algo,seed,backbone,stage,rel_spread,eff_rank,cos_raw,n_cols_nonconst,n_cols_varying,relstd_ch_gain,relstd_sinr_embb,relstd_sinr_urllc,relstd_q_embb,relstd_urllc_backlog,relstd_viol_ewma,relstd_prev_alloc_lag2,relstd_prev_alloc
gnn-mappo_sage,42,sage,conv1_pre,0.06817935548374938,2.97072225301261,0.9942376711226224,,,,,,,,,,
gnn-mappo_sage,42,sage,conv1_act,0.07106167938739931,2.9032863005735563,0.9937163013666979,,,,,,,,,,
gnn-mappo_sage,42,sage,conv2,0.012056076238035665,3.0099560767095594,0.9998239438094039,,,,,,,,,,
gnn-mappo_sage,43,sage,input,0.11228934056414681,1.9811496826475667,0.9843601693582379,5.0,4.0,0.056637930451150405,1.2817286561601033,0.013079782590982506,2.0,0.002900662719274313,0.0,0.0,0.0
gnn-mappo_sage,43,sage,conv1_pre,0.06722605205819254,1.9700923472651004,0.9944322120798882,,,,,,,,,,
gnn-mappo_sage,43,sage,conv1_act,0.06743327944478279,1.9531397945772502,0.994471129506419,,,,,,,,,,
gnn-mappo_sage,43,sage,conv2,0.016542764763118677,2.047300742128947,0.9997183419116915,,,,,,,,,,
gnn-mappo_sage,44,sage,input,0.1301350544728673,2.741000687533695,0.978870590721779,6.0,6.0,0.056637930451150405,1.2817286561601033,0.013079782590982506,2.0,0.09669035718448585,1.0525414472860082,0.0,0.0
gnn-mappo_sage,44,sage,conv1_pre,0.08254985921682315,2.701567076060259,0.9916699253076224,,,,,,,,,,
gnn-mappo_sage,44,sage,conv1_act,0.08499080737190272,2.8008374606403876,0.9911912984868824,,,,,,,,,,
gnn-mappo_sage,44,sage,conv2,0.02326045370228615,2.7425922916953547,0.9994465298387546,,,,,,,,,,
gnn-mappo_sage,45,sage,input,0.11356381459938267,2.0415803868744993,0.9839305984313468,6.0,5.0,0.056637930451150405,1.2817286561601033,0.013079782590982506,2.0,0.002900662719274313,0.0470140806089822,0.0,0.0
gnn-mappo_sage,45,sage,conv1_pre,0.06044052753544015,2.0917430825618992,0.9955783605082921,,,,,,,,,,
gnn-mappo_sage,45,sage,conv1_act,0.05869033029630753,2.1213489046193064,0.9958297632283536,,,,,,,,,,
gnn-mappo_sage,45,sage,conv2,0.019993515212800513,2.219390317367388,0.9995641993885034,,,,,,,,,,
gnn-mappo_sage,46,sage,input,0.32812093933079406,2.1221520343300204,0.8806733386709901,6.0,5.0,0.056637930451150405,1.2108601679130748,0.5623891123326162,2.0,0.001948850175423327,0.3431189810794245,0.0,0.0
gnn-mappo_sage,46,sage,conv1_pre,0.2173014833482923,2.1902061378141626,0.9437282985609634,,,,,,,,,,
gnn-mappo_sage,46,sage,conv1_act,0.21967644580318918,2.314167962805132,0.9418189776955372,,,,,,,,,,
gnn-mappo_sage,46,sage,conv2,0.08853832453156386,2.263525061782779,0.9916974062167274,,,,,,,,,,
gnn-mappo_sage,47,sage,input,0.11228934056414681,1.9811496826475667,0.9843601693582379,5.0,4.0,0.056637930451150405,1.2817286561601033,0.013079782590982506,2.0,0.002900662719274313,0.0,0.0,0.0
gnn-mappo_sage,47,sage,conv1_pre,0.06552005614911825,2.0024831022426426,0.9947199225202867,,,,,,,,,,
gnn-mappo_sage,47,sage,conv1_act,0.06315829848489225,2.126623305350266,0.9951037644681193,,,,,,,,,,
gnn-mappo_sage,47,sage,conv2,0.019136739961136986,2.127994001443188,0.9996381592055362,,,,,,,,,,
gnn-mappo_sage,48,sage,input,0.114674614543891,2.2515947907841047,0.9836254544537635,6.0,5.0,0.056637930451150405,1.2817286561601033,0.013079782590982506,2.0,0.002900662719274313,0.07400063236604378,0.0,0.0
gnn-mappo_sage,48,sage,conv1_pre,0.071470391584618,2.2129760947895205,0.9937683196332397,,,,,,,,,,
gnn-mappo_sage,48,sage,conv1_act,0.06140559248431337,2.223971964632249,0.9956031186413702,,,,,,,,,,
gnn-mappo_sage,48,sage,conv2,0.012476603927904329,2.200923897971458,0.9998579804962642,,,,,,,,,,
